"prof","slogan","politician","econ","name","race","sex","order","choice","sec","corrup","emp","id","age","sex_respondent","state","income","trust_civpol","trust_milpol","trust_congress","trust_minpub","trust_mayor","trust_vereadores","trust_army","legit_1","legit_2","legit_3","legit_4","legit_5","contact_civpol","contact_milpol","contact_guarda","contact_saude","contact_educ","crime_victim","problem_corruption","problem_health","problem_security","problem_inequality","problem_unemployment","problem_other","covid_eval","covid_contact","ideology_self","ideology_mayor","ideology_president","vote","pres_vote_2018","party_mayor","party_self","auth_1","auth_2","auth_3","auth_4","religion","race_respondent","city","cep","urban","education"
"captain","generic","novice","left","Hector Amaral","white","male",1,2,1,2,1,"R_pnPWPxx89PEqaA1",34,2,15,7,4,4,3,4,3,4,3,2,2,1,5,1,1,1,1,3,5,2,1,2,5,3,4,"Falta de justiça",1,12,5,4,3,3,8,17,12,1,2,1,1,4,"4","Sousa","58805-130",2,3
"doctor","corruption","novice","right","Isabella Nunes","white","female",1,3,2,3,3,"R_PO3b8o8VMgXSfbb",13,2,11,3,4,4,3,4,4,3,4,2,2,3,3,2,1,1,2,3,3,2,2,1,5,3,4,"Educação, meio ambiente ",1,7,2,6,7,3,5,17,12,2,1,2,1,2,"4","Sinop","78550000",2,5
"doctor","jobs","novice","right","Nicolas Duarte","pardo","male",1,4,4,3,3,"R_prSmDDJOpqf6r17",5,1,19,2,5,5,5,NA,5,5,5,4,4,4,4,4,1,1,1,3,2,2,5,1,2,4,3,"Educação ",5,5,3,6,3,2,1,8,12,1,1,1,1,4,"3","Nova Iguaçu ","26276-520 ",2,3
"office","corruption","novice","left","Nicolas Duarte","white","male",1,4,2,2,2,"R_pSfl3wVrzaMxyJb",51,1,12,7,2,3,3,3,2,3,4,2,2,2,1,2,1,1,1,3,1,1,3,1,2,5,4,"",2,NA,6,3,6,3,1,3,7,1,2,1,2,2,"4","Campo grande","79000 100",2,2
"pastor","jobs","novice","left","Bernardo Teixeira","black","male",1,3,3,5,5,"R_PvxPsVggndiFpkZ",27,2,25,7,NA,4,4,3,4,3,4,2,4,3,3,3,4,4,4,4,4,1,NA,NA,NA,NA,NA,"",3,12,4,5,5,1,11,17,12,1,2,1,1,2,"4","São Paulo ","12922425",2,3
"doctor","jobs","politician","left","Cecilia Machado","pardo","female",1,2,2,2,2,"R_pxYmLqfgZgZ0J6V",11,2,13,1,4,4,2,2,3,2,4,2,2,2,1,2,2,1,1,3,1,2,4,1,2,5,3,"",2,5,NA,5,5,2,3,17,12,2,2,1,2,2,"1","Uber","38400000",2,6
"professor","jobs","politician","left","Nicolas Duarte","pardo","male",1,3,3,3,3,"R_pypYaBhvNOWgvKN",12,1,25,3,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,4,5,1,2,3,"educação",3,6,NA,NA,NA,3,1,17,12,1,2,2,2,1,"1","sp","",2,5
"police","jobs","novice","right","Bernardo Teixeira","pardo","male",1,3,3,4,5,"R_PYRXd6vbrdpQEWR",52,2,5,7,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,"não sei",3,12,1,2,1,1,9,17,12,1,2,1,2,2,"4","Salvador","40349690",2,3
"pastor","jobs","novice","right","Hector Amaral","white","male",1,1,1,1,1,"R_pz3lglbs8ImfIdP",7,1,21,3,2,3,1,1,1,1,2,1,2,1,1,2,1,1,1,3,3,1,1,2,3,4,5,"",2,NA,5,1,7,3,1,2,12,1,2,1,2,1,"1","","",1,3
"doctor","jobs","novice","left","Bernardo Teixeira","black","male",1,4,2,2,1,"R_pzMukxgCrMtDVOp",33,1,13,3,2,2,2,2,2,2,4,2,1,1,1,1,1,2,1,3,3,4,3,4,1,5,2,"",3,6,5,5,6,3,1,11,17,1,2,1,2,1,"3","Contagem ","32183-180 ",2,4
"office","jobs","novice","right","Nicolas Duarte","pardo","male",1,1,4,1,5,"R_Q5FLJyIvdu5Z3sR",25,2,16,3,1,1,1,3,2,1,2,5,4,5,4,4,2,1,2,1,4,2,NA,NA,NA,NA,NA,"Educação ",4,1,6,7,7,3,6,7,12,1,2,1,1,2,"1","Arapongas","Paraná ",2,5
"pastor","corruption","novice","right","Isabella Nunes","pardo","female",1,3,4,4,4,"R_QaEaCmdPqMMYbcZ",12,1,4,7,5,5,3,5,4,3,5,2,5,2,3,NA,1,1,1,1,5,2,5,2,4,3,1,"Humanização",5,3,0,7,7,3,10,17,12,1,2,1,1,2,"4","Manaus","69036531",2,3
"office","jobs","novice","left","Hector Amaral","black","male",1,2,2,3,1,"R_Qb2SBlBR7fKslMt",62,1,25,3,2,2,1,5,4,3,4,1,2,3,4,2,1,1,1,3,1,1,2,5,4,1,3,"bolsonarismo; lulismo; voto obrigatório; sistema político; descuido do meio ambiente; etc. etc.",4,7,NA,5,7,3,1,3,12,2,1,1,2,11,"1","Atibaia","12946170",2,5
"pastor","jobs","novice","right","Cecilia Machado","pardo","female",1,4,3,3,4,"R_QcsVZG0MfuUoNJ7",1,1,6,7,4,4,3,3,1,3,4,2,2,3,3,2,1,1,1,2,3,1,1,5,3,4,2,"",5,1,NA,NA,NA,1,NA,NA,NA,1,2,1,2,1,"4","Fortaleza","",2,3
"doctor","jobs","politician","left","Bernardo Teixeira","white","male",1,2,2,2,2,"R_qCxSlbZ5rzm7Vzb",24,1,16,7,4,4,1,1,4,1,4,4,4,1,1,2,2,4,2,2,1,1,2,3,4,5,1,"Economia",1,3,3,4,6,2,1,5,9,2,1,2,1,8,"1","Curitiba","82200-000",2,5
"doctor","corruption","politician","left","Isabella Nunes","pardo","female",1,2,2,2,2,"R_qDT7t2gDXfuVjvH",14,1,19,3,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,5,3,4,2,1,"",3,3,1,5,7,3,3,3,13,2,1,2,1,8,"4","Rio de Janeiro","21650460",2,4
"doctor","jobs","novice","right","Cecilia Machado","pardo","female",1,4,3,3,3,"R_qFbI1yUBp1zUsAV",15,1,25,3,2,4,2,4,3,1,4,4,4,4,4,4,1,1,1,1,1,1,1,2,3,4,5,"não",2,3,5,3,6,3,1,4,12,2,1,1,2,4,"1","São Paulo","3336000",2,3
"pastor","jobs","novice","right","Olívia Mendes","white","female",1,2,2,2,4,"R_QicQyj2WHS3o77P",2,1,25,6,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,3,4,5,1,2,"Manipulação, ignorância e Guerra cultural",2,4,3,5,7,3,1,4,12,1,1,2,1,2,"1","São Paulo","4131080",2,3
"pastor","jobs","novice","left","Nicolas Duarte","white","male",1,3,2,3,3,"R_QiTil1Dk83gD3ZT",13,1,26,1,5,5,4,5,3,3,5,3,3,2,3,2,1,1,1,3,3,1,3,1,5,4,2,"",1,12,4,5,3,2,9,8,12,1,2,1,2,2,"4","Gararu","49830000",1,3
"professor","jobs","novice","right","Hector Amaral","white","male",1,5,5,5,5,"R_QnMn2jgNFT8zCDv",33,1,3,7,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,3,"Racismo",1,12,6,7,7,1,9,11,1,2,2,1,2,11,"4","Macapá","68909319",2,3
"office","corruption","politician","right","Nicolas Duarte","black","male",1,1,1,1,1,"R_Qp7SCdgUiajJ9Gp",19,1,5,3,2,2,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,"1",1,12,4,1,7,2,1,17,12,2,1,1,1,1,"1","eunapolis","45821030",2,5
"captain","corruption","politician","left","Hector Amaral","black","male",1,1,1,1,1,"R_qW5ovhMAit3cAxP",13,2,11,2,2,2,1,4,3,3,1,1,2,1,1,1,2,1,1,3,5,1,NA,NA,NA,NA,NA,"Educação, cultura e lazer",3,5,0,4,7,3,2,15,10,2,1,1,1,7,"3","Rondonópolis","78700000",2,5
"captain","corruption","novice","left","Nicolas Duarte","black","male",1,2,3,4,5,"R_r0EClNsP0rqceAx",36,2,25,6,5,5,1,3,3,1,5,3,4,5,4,NA,5,1,1,1,1,1,1,2,3,4,5,"1",3,2,5,5,7,2,1,17,12,NA,1,NA,NA,7,"4","São Paulo capital ","1258020",2,5
"office","corruption","politician","right","Hector Amaral","white","male",1,1,2,2,2,"R_r25f4TiEQ5LEOiZ",45,2,19,5,4,4,1,1,4,1,5,2,2,2,4,2,3,4,4,3,4,1,1,3,2,5,4,"",4,7,6,3,7,2,1,4,12,NA,NA,1,NA,7,"4","rio de janeiro","28942-238",2,5
"police","corruption","politician","right","Cecilia Machado","pardo","female",1,1,1,1,1,"R_R2GkINbhqz9tLXz",29,1,5,1,3,2,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,4,1,3,2,5,4,"",1,NA,3,NA,NA,1,11,16,12,1,NA,NA,NA,2,"4","SALVADOR","40349680",2,3
"office","jobs","politician","right","Cecilia Machado","pardo","female",1,3,3,3,3,"R_R3lSIeY0AqNkrfP",6,1,9,7,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,2,5,1,2,4,3,"Não",3,1,3,4,4,1,10,17,1,NA,1,1,NA,2,"1","Águas lindas de Goiás","72910461",2,2
"office","generic","politician","right","Cecilia Machado","black","female",1,3,2,2,2,"R_R3QPkfU6sDYbiUh",27,1,21,3,2,2,1,1,1,1,2,NA,2,3,1,1,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,"",1,3,5,6,7,3,6,1,12,1,2,1,1,4,"1","Alvorada","94852010",2,3
"police","generic","politician","left","Cecilia Machado","white","female",1,4,3,3,2,"R_RbpUpuxEF6iZnup",22,1,21,7,5,4,2,4,2,3,5,4,3,5,4,4,2,2,1,3,3,1,1,3,4,5,2,"Não",2,12,5,3,7,3,1,2,7,1,2,1,2,4,"3","Cachoeira do Sul","96506682",2,2
"pastor","jobs","politician","right","Olívia Mendes","pardo","female",1,1,1,2,3,"R_RCSehFifZb6ocKt",4,1,17,7,2,5,2,3,1,2,4,4,1,5,5,2,2,3,1,1,1,1,NA,NA,NA,NA,NA,"Conta de luz",3,4,4,2,3,2,10,17,13,2,1,2,1,2,"1","Vicência","55050000",2,3
"police","corruption","politician","left","Olívia Mendes","white","female",1,4,3,3,3,"R_ReMorCY8aYrPE2Z",50,1,24,1,4,5,1,3,1,1,5,4,4,4,4,4,2,2,1,3,3,2,2,3,1,4,5,"",1,5,5,3,6,3,1,17,8,1,2,1,2,2,"1","Itapoá","89249000",2,3
"professor","jobs","politician","left","Olívia Mendes","white","female",1,3,3,3,3,"R_riDNVq7C7euNjAl",49,2,25,3,3,3,2,4,4,3,4,2,1,1,1,1,1,1,2,3,2,1,5,3,4,1,2,"Meio ambiente,  indígenas, quilombolas",4,11,1,2,7,3,3,11,1,NA,NA,1,NA,2,"1","Araraquara ","14800-150 ",2,3
"doctor","jobs","novice","right","Nicolas Duarte","pardo","male",1,2,2,3,2,"R_rjsWsN2i5X5SH9n",39,2,14,1,4,4,3,4,3,4,4,4,4,2,4,4,1,5,2,4,2,2,1,2,4,5,3,"Transporte",5,12,0,6,1,2,3,14,12,1,NA,1,NA,2,"3","Ananindeua","67010210",2,3
"professor","jobs","novice","right","Olívia Mendes","pardo","female",1,1,5,5,5,"R_RKe1XnZC6cxo2Wd",29,1,4,1,3,3,5,5,4,4,5,2,2,2,2,2,2,2,1,3,5,4,1,3,5,4,2,"",5,NA,4,5,5,2,1,3,6,1,NA,NA,NA,4,"4","Manaus","69075341",2,3
"professor","corruption","politician","left","Nicolas Duarte","white","male",1,4,2,2,5,"R_Rm0kHLzyhVbv5PH",16,2,5,3,5,5,3,2,5,5,4,5,5,5,5,5,1,1,1,2,4,1,NA,NA,NA,NA,NA,"Educação",5,4,0,1,1,3,1,17,13,1,2,1,1,4,"4","Itabela","45848000",2,3
"professor","generic","novice","left","Hector Amaral","white","male",1,4,3,4,3,"R_Rm1cxy5yTkIedYB",6,1,9,5,5,2,1,5,1,1,4,1,2,4,2,2,1,1,1,2,1,1,2,3,5,1,4,"",4,12,4,5,7,3,7,3,12,NA,NA,2,2,6,"1","Goiânia ","74075-500 ",2,6
"professor","jobs","politician","right","Cecilia Machado","pardo","female",1,1,2,2,2,"R_RQE4cRxojCncuJ3",26,1,10,2,2,2,1,4,1,1,4,2,2,3,1,1,1,1,1,1,4,1,1,2,4,5,3,"Educacao moradia",1,3,6,2,7,2,1,17,12,1,2,1,2,4,"4","Bacabal","65700000",2,2
"pastor","generic","politician","left","Bernardo Teixeira","black","male",1,3,3,3,2,"R_RsMpE4I1UBHB0NH",24,2,21,1,4,2,1,2,3,2,3,2,2,1,1,1,1,1,1,1,1,2,1,2,4,3,5,"",3,12,5,5,1,1,NA,NA,NA,1,NA,1,2,7,"1","porto alegre","91790530",2,3
"captain","corruption","novice","right","Isabella Nunes","black","female",1,5,4,4,4,"R_RUD3Z7sQuzLNPgZ",7,2,5,6,5,5,5,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,"Corrupção ",5,8,6,6,7,3,1,8,10,1,NA,2,NA,2,"1","Salvador ","41370045",2,5
"pastor","corruption","novice","right","Cecilia Machado","pardo","female",1,2,3,3,3,"R_saLQQLBGxgpnSPD",14,2,21,5,3,3,3,3,3,3,3,5,5,3,3,3,1,1,1,1,1,1,4,1,2,5,3,"",4,1,6,7,7,3,1,17,12,1,2,1,2,4,"1","Carazinho","99500000",2,5
"pastor","jobs","novice","right","Olívia Mendes","pardo","female",1,2,1,1,1,"R_sbp4g9Tl5wUxtQJ",25,2,11,7,3,3,2,3,3,3,4,2,2,5,4,2,1,5,1,2,2,1,1,2,3,5,4,"educação precaria",1,12,6,6,7,2,1,1,12,1,NA,NA,NA,1,"4","pontal do araguaia","78698000",2,5
"doctor","generic","politician","left","Olívia Mendes","white","female",1,4,2,2,2,"R_SCuZmIKZuLPsQSt",20,2,25,3,2,2,1,3,2,2,2,3,1,1,1,1,1,2,1,1,5,1,3,1,2,5,4,"",4,5,3,4,4,3,11,12,1,NA,NA,2,1,2,"4","Sorocaba","18073423",2,3
"doctor","jobs","novice","right","Cecilia Machado","white","female",1,3,2,3,3,"R_sdJ8NRCfPTgrsTD",23,1,16,3,4,4,2,5,2,3,4,4,5,3,4,4,1,1,1,1,1,1,4,3,5,2,1,"",4,1,2,3,7,2,10,3,12,1,2,2,2,2,"4","ibipora-pr","86200000",2,5
"pastor","jobs","novice","left","Nicolas Duarte","pardo","male",1,1,1,2,3,"R_SNJUamZ0DmrmQUh",2,2,2,7,4,3,2,1,1,1,3,2,3,1,1,1,1,1,NA,1,5,1,1,2,4,5,3,"Não ",5,6,0,1,7,1,10,17,1,1,2,NA,1,11,"4","Santana do Ipanema ","57500-000",2,2
"police","generic","novice","left","Olívia Mendes","white","female",1,3,3,3,2,"R_sO6e6X8umUQFG1j",46,1,7,6,3,3,2,4,4,3,4,2,2,3,3,2,1,1,1,2,1,1,3,5,4,1,2,"Educação ",2,4,4,4,6,2,5,4,9,2,1,1,1,1,"4","Brasília ","71741-804. ",2,5
"office","generic","novice","right","Nicolas Duarte","white","male",1,2,1,4,4,"R_sqg8oWWEvwrZZkt",61,1,25,1,5,5,2,4,2,2,5,4,4,4,4,4,1,1,1,2,1,1,4,1,3,5,2,"Não ",4,1,5,6,7,1,1,4,2,2,2,2,1,2,"4","Campinas ","13059612",2,2
"pastor","jobs","novice","right","Bernardo Teixeira","pardo","male",1,2,2,1,2,"R_STaFjjhdLvegZQB",3,1,9,6,4,4,1,2,2,1,3,4,4,3,4,4,2,1,1,1,1,1,1,4,3,5,2,"",3,3,5,5,7,2,5,4,13,1,1,2,2,1,"4","Goiânia","74886037",2,4
"pastor","jobs","politician","left","Cecilia Machado","white","female",1,3,3,2,3,"R_STX5ZXvV4S0WKfD",5,2,25,7,4,4,3,3,4,3,4,2,2,2,2,1,2,1,1,1,4,2,1,2,3,4,5,"",5,2,0,1,1,3,10,17,12,1,2,1,2,4,"1","Bauru ","17065211",2,2
"captain","generic","novice","left","Olívia Mendes","pardo","female",1,3,3,3,3,"R_svcphjkN29MBbax",34,2,7,7,5,5,3,3,3,3,5,3,4,3,5,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,"Não",1,5,5,3,2,1,1,17,12,1,2,1,2,1,"4","Brasília","73083110",2,3
"office","jobs","novice","right","Hector Amaral","pardo","male",1,1,1,1,1,"R_sXSQktm4yMuFlFn",16,2,19,3,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,1,2,"Educação ",4,2,0,5,7,3,2,3,10,1,1,2,1,1,"1","Rio de Janeiro","21230330",2,5
"office","corruption","novice","left","Isabella Nunes","white","female",1,4,3,4,3,"R_sZLEuTc7a2G1NKN",7,2,20,3,5,5,3,5,4,3,NA,4,4,1,1,3,1,5,2,5,1,1,1,2,3,5,4,"Transporte público",4,6,4,5,7,3,5,4,13,1,2,1,2,2,"1","Natal","59132240",2,5
"doctor","corruption","novice","right","Nicolas Duarte","white","male",1,1,NA,NA,5,"R_T5A1E0iPdHFHre9",46,1,21,7,5,5,5,5,4,5,5,2,2,2,2,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,"fome",1,11,1,2,3,1,1,17,12,1,1,1,1,6,"1","uruguaiana","97501753",2,5
"pastor","corruption","novice","right","Olívia Mendes","white","female",1,2,2,4,2,"R_T7q7Q21KKqhjl9T",41,2,24,3,4,NA,2,3,3,2,NA,2,2,3,4,4,1,1,1,3,1,1,4,1,3,5,2,"Educação",2,12,4,NA,6,3,3,1,12,1,NA,1,2,2,"1","Rio do sil","89163512",2,2
"pastor","jobs","novice","left","Olívia Mendes","black","female",1,1,2,2,1,"R_T8ad1RzsJaIACOt",40,1,8,5,3,2,1,3,4,1,4,2,2,2,4,4,1,1,1,3,1,2,2,1,3,5,4,"",2,6,6,7,7,2,1,17,NA,1,NA,NA,2,6,"4","Vitória ","29046511",2,4
"captain","jobs","politician","right","Bernardo Teixeira","black","male",1,4,3,3,4,"R_tDqvT4b0lOL3Yrv",21,2,19,1,4,3,3,4,3,3,4,3,2,3,3,2,1,1,1,1,3,1,1,2,4,3,5,"",3,9,4,4,7,2,1,11,12,1,2,1,NA,4,"3","Itaboraí ","24875100",2,3
"professor","generic","politician","left","Cecilia Machado","white","female",1,4,3,2,2,"R_tEUy9SAV0Zuja4F",26,1,14,1,4,3,1,5,4,3,5,1,4,4,1,2,1,1,1,1,1,1,5,1,3,4,2,"Falta de educação ",1,12,6,5,7,3,1,1,12,1,2,1,2,2,"4","Bragança ","6760000",2,3
"captain","generic","politician","right","Olívia Mendes","white","female",1,1,2,1,2,"R_TiqWcoCZIjqufmh",10,2,25,3,2,2,1,3,2,1,2,2,2,1,1,1,1,1,2,2,5,3,5,2,4,3,1,"",2,6,NA,5,7,3,9,17,12,NA,NA,1,NA,2,"4","São Paulo","6834030",2,5
"captain","jobs","novice","left","Nicolas Duarte","white","male",1,1,3,3,1,"R_TnDO7cqQy0cps6l",31,2,9,3,3,3,1,5,5,2,4,2,2,4,4,4,1,1,1,2,3,1,1,3,4,5,2,"",2,9,6,7,7,3,1,10,17,NA,2,NA,NA,4,"1","Goiânia ","74371201",2,3
"doctor","generic","politician","right","Olívia Mendes","pardo","female",1,4,4,4,4,"R_tSxRYulVIFbv9df",52,2,17,7,5,4,1,4,4,1,5,4,4,2,1,1,1,1,1,2,1,1,1,2,3,4,5,"Obrigatoriedade de formaçao escolar superior de nossos politicos",NA,6,6,7,7,3,1,5,7,1,2,1,2,6,"4","Jaboatao","54450010",2,4
"police","generic","politician","left","Cecilia Machado","pardo","female",1,1,3,2,2,"R_TtFantdYxGBZ2gx",23,2,16,5,2,2,1,2,2,1,2,2,3,2,1,2,1,1,1,2,1,2,1,3,4,2,5,"",4,4,4,5,7,3,1,5,12,1,2,2,1,2,"1","curitiba","80240140",2,5
"pastor","corruption","novice","right","Olívia Mendes","black","female",1,4,3,3,2,"R_tVBWo9yuIKuu7K1",6,1,15,7,3,4,3,3,3,3,4,1,1,5,5,3,1,1,1,5,2,3,3,2,5,1,4,"",3,NA,NA,NA,NA,1,10,17,12,1,2,1,2,6,"1","Paraíba ","58520000",1,2
"captain","generic","politician","right","Hector Amaral","white","male",1,1,1,1,1,"R_u9AdGfSFU4RIBc5",6,2,2,7,1,1,4,4,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,2,5,3,4,"",4,2,1,6,7,2,3,17,10,2,1,2,1,2,"1","Maceió","57063180",2,5
"captain","jobs","novice","right","Cecilia Machado","black","female",1,4,4,3,4,"R_Ub7NbfSyIsudbSV",10,2,7,5,4,3,4,4,3,3,4,2,2,3,1,1,2,3,3,1,1,3,1,4,5,3,2,"Educação ",3,4,0,6,7,3,2,11,1,1,2,2,2,8,"1","Brasília ","71684400",1,5
"office","jobs","novice","left","Nicolas Duarte","white","male",1,3,1,2,4,"R_udKUdNIzSAZhKsF",22,1,13,5,2,2,1,2,4,2,2,2,2,2,3,2,2,3,1,2,2,1,1,4,5,2,3,"",2,NA,5,5,7,3,1,4,12,1,1,1,2,2,"4","Belo Horizonte","31050620",2,5
"doctor","jobs","novice","left","Isabella Nunes","black","female",1,4,3,4,1,"R_udL0iq72iBaKZa1",2,2,6,1,4,4,4,4,4,4,4,2,2,1,1,1,2,1,2,2,5,5,NA,NA,NA,NA,NA,"Não ",2,12,1,4,5,1,2,1,1,1,2,1,2,2,"1","Acopiara ","63560-000",1,2
"pastor","jobs","novice","left","Bernardo Teixeira","white","male",1,2,3,2,2,"R_ug1HKfZ4a1nKdk5",6,1,9,3,4,4,2,2,1,2,3,4,4,5,2,3,1,1,2,2,2,2,1,2,4,5,3,"",4,4,NA,5,3,3,9,17,12,1,1,1,1,2,"4","Goiânia/GO","74720150",2,5
"doctor","jobs","novice","right","Cecilia Machado","pardo","female",1,2,1,1,3,"R_ulE6rCMaO438I7v",24,1,8,3,4,5,1,2,2,1,5,4,4,4,2,4,1,2,2,1,3,2,4,2,5,1,3,"",4,7,NA,NA,NA,3,1,1,12,1,2,1,2,1,"3","Serra","29164370",2,4
"doctor","jobs","politician","left","Cecilia Machado","black","female",1,1,2,2,2,"R_UnKXYjmdvAc1c3f",49,2,11,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,"desigualdade",2,NA,5,6,6,1,1,17,12,NA,NA,1,2,4,"4","cuiaba","78058145",2,5
"professor","generic","politician","right","Nicolas Duarte","white","male",1,4,3,3,3,"R_UPyjr6dWXaNVORb",29,2,15,2,3,2,1,3,1,1,2,2,3,1,1,1,1,1,1,2,2,3,4,5,1,3,2,"Educacao",4,11,2,6,7,1,2,17,1,NA,NA,NA,2,2,"1","Joao pessoa","58075370",2,5
"pastor","generic","novice","right","Isabella Nunes","white","female",1,1,1,1,1,"R_uqdWtBAN8tQlK5b",23,2,3,7,3,1,1,3,4,1,3,2,2,1,1,1,1,1,1,1,2,2,4,3,2,5,1,"",1,NA,NA,NA,NA,1,9,17,12,1,2,1,1,2,"4","Macapá ","68909816",2,3
"professor","jobs","politician","left","Isabella Nunes","black","female",1,2,2,4,1,"R_uqZfdVDrpoxjzrz",35,1,10,1,4,3,2,4,3,1,4,2,1,3,1,1,1,1,1,2,2,1,4,2,3,5,1,"Sem comentários ",3,3,0,3,3,3,1,7,12,NA,2,1,NA,4,"4","São Luiz ma ","65040820",2,4
"pastor","generic","novice","right","Cecilia Machado","pardo","female",1,2,2,4,2,"R_uvQdUgW6YYcAUa5",45,1,25,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,NA,NA,NA,2,1,2,3,4,5,"",2,2,4,5,5,2,4,4,2,1,2,1,1,2,"4","Sao paulo ","5713410",2,5
"professor","jobs","politician","right","Cecilia Machado","pardo","female",1,4,2,2,2,"R_UXweRAgEUzPWyEV",32,1,3,3,5,5,4,4,4,2,5,2,2,4,4,3,2,4,1,4,2,1,3,4,5,1,2,"Saneamento",2,12,2,7,7,2,2,4,1,1,2,1,1,2,"1","Macapá","68906504",2,5
"professor","jobs","politician","left","Cecilia Machado","white","female",1,4,2,2,4,"R_uymYmJwNo9Rsi9H",32,2,1,3,4,4,4,4,4,4,4,4,4,4,2,2,2,3,1,2,2,3,1,2,3,4,5,"",4,12,0,5,7,3,8,12,1,2,NA,NA,NA,1,"1","Rio Branco","69900403",2,6
"office","jobs","novice","left","Nicolas Duarte","black","male",1,4,2,3,2,"R_uz6tQ5PLBmnvuTL",7,2,25,7,1,3,2,1,1,1,3,3,2,2,1,4,1,1,1,1,1,3,NA,NA,NA,NA,NA,"Corrupção ",3,12,6,2,1,1,10,17,12,1,2,1,2,4,"4","São Paulo ","3522010",1,3
"captain","generic","novice","left","Hector Amaral","white","male",1,1,1,1,1,"R_uze63julljimZYB",28,2,13,7,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,2,4,5,3,"",4,8,5,6,6,3,1,17,12,NA,NA,NA,2,2,"1","cachoeira de minas","37545000",2,3
"doctor","corruption","politician","left","Olívia Mendes","white","female",1,3,1,1,2,"R_vcy2h5NK0uqobtv",49,1,26,3,4,3,2,4,3,2,5,3,3,2,2,2,1,1,1,2,2,2,3,1,2,5,4,"",4,10,2,NA,7,3,2,3,1,NA,NA,1,NA,1,"2","Aracaju ","49037460",2,6
"doctor","jobs","politician","right","Cecilia Machado","white","female",1,2,2,2,2,"R_vGlMYWWNKZGK7fz",49,2,25,3,4,4,2,4,2,1,4,4,4,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,"",5,4,NA,NA,NA,1,2,1,1,1,2,2,1,2,"1","São Paulo","04162-001",2,5
"doctor","jobs","politician","right","Bernardo Teixeira","black","male",1,3,3,3,4,"R_vJEC9IlRcfloxEd",15,1,25,3,4,4,1,4,2,2,5,4,4,4,4,4,1,3,4,3,1,2,1,3,4,5,2,"",3,6,6,1,7,3,1,4,12,1,2,1,2,4,"1","Conchal","13835-000 ",2,3
"office","generic","politician","left","Olívia Mendes","black","female",1,4,3,3,4,"R_vkmYxY23mx554yt",17,2,25,3,4,4,1,4,3,2,3,2,4,3,1,2,1,2,2,2,5,1,1,2,5,3,4,"Educação ",2,12,NA,7,7,3,2,16,12,2,1,NA,NA,2,"1","Americana","13478650",2,5
"police","generic","novice","left","Cecilia Machado","pardo","female",1,2,3,3,2,"R_vlCDNNzW6aQp4M9",4,1,1,7,4,3,3,1,1,1,1,2,3,1,1,2,1,2,3,4,5,1,1,4,5,2,3,"pouco investimento nos jovens",2,1,NA,NA,NA,1,10,16,12,1,1,2,1,1,"1","acre","",2,3
"doctor","corruption","politician","right","Bernardo Teixeira","pardo","male",1,1,5,1,NA,"R_voeV3GYnCljN6SZ",28,2,16,2,3,NA,1,3,1,NA,3,3,2,3,2,3,1,NA,1,NA,1,1,2,1,5,4,3,"",3,2,0,5,1,1,1,17,12,1,2,1,2,4,"1","Colombo","83411140",2,2
"professor","generic","novice","right","Cecilia Machado","black","female",1,1,3,4,3,"R_vp1qsZV6LxANHPj",43,1,14,1,2,2,3,2,2,3,2,4,1,3,3,3,2,1,1,1,1,1,1,3,5,4,2,"",3,6,NA,NA,NA,2,3,3,12,NA,2,1,2,2,"3","Belém","66821355",2,3
"doctor","jobs","novice","left","Bernardo Teixeira","pardo","male",1,4,3,5,2,"R_vpIY4YtrmxP1nBn",32,1,5,7,2,2,1,3,1,1,2,1,1,1,1,4,1,1,1,1,5,1,NA,NA,NA,NA,NA,"Corrupção 1",5,11,0,7,7,3,2,1,1,NA,2,1,2,2,"3","Feira de Santana ","44050712",2,3
